BRAND,MODEL,TOP SPEED,RANGE IN KM,CAPACITY,PRICE IN USD,,,,,
Audi,e-tron,200km/hr,436km,5 seater,"$65,900",,,,,
BMW,i3,150km/hr,310km,4-seater,"$44,450",,,,,
BYD,Tang,180km/hr,505km,5-seater,"$29,000",,,,,
Canoo,canoo,193km/hr,370km,7-seater,"$34,750",,,,,
Chevrolet,Bolt EV,150km/hr,417km,5-seater,"$31,000",,,,,
Citroën,ë-c4,150km/hr,350km,5-seater,"$32,000",,,,,
Cupra,el-Born,160km/hr,540km,5-seater,N/A,,,,,
Daimler,EQC,180km/hr,418km,5-seater,"$68,000",,,,,
Dyson,Dyson EV,N/A,N/A,N/A,N/A,,,,,
Fisker,Fisker ocean,160km/hr,480km,5-seater,"$37,500",,,,,
Ford,Mustang mach-E,180km/hr,610km,5-seater,"$42,895",,,,,
General Motors,Hummer EV,N/A,N/A,N/A,N/A,,,,,
Honda,Honda e,145km/hr,222km,4-seater,"$38,350",,,,,
Hyundai,Kona electric,167km/hr,484km,5-seater,"$40,980",,,,,
Jaguar,I-Pace,200km/hr,470km,5-seater,"$89,440",,,,,
Kia,EV6,260km/hr,528km,5-seater,N/A,,,,,
Lucid Motors,Lucid air,378km/hr,832km,5-seater,"$69,900",,,,,
Mahindra,eKUV100,80km/hr,150km,5-seater,"$10,409",,,,,
Mazda,MX-30,140km/hr,200km,5-seater,$37244,,,,,
Mercedes-Benz,EQA,160km/hr,426km,5-seater,"$52,092",,,,,
MG Motor,MG ZS EV,140km/hr,263km,5-seater,"$33,460",,,,,
Nissan,LEAF,157km/hr,385km,5-seater,"$35,000",,,,,
Polestar,polestar,205km/hr,540km,5-seater,"$54,677",,,,,
Porsche,Taycon,260km/hr,N/A ,N/A,N/A,,,,,
PSA Group,Peugeot e-208,150km/hr,340km,5-seater,"$36,000",,,,,
Rivian,RIT,201km/hr,483km,7-seater,"$61,250",,,,,
Rimac,C-two,412km/hr,647km,2-seater,2 Million,,,,,
Renault,ZOE,140km/hr,395km,5-seater,$36000,,,,,
Rolls-Royce,Silent shadow,322km/hr,N/A,4-5seater,N/A,,,,,
Saic Motor,MG Marvel R Electric,200km/hr,400km,5-seater,N/A,,,,,
SEAT,el-Born,N/A,N/A ,N/A,N/A,,,,,
Seres,SF5,200km/hr,510km,5-seater,N/A,,,,,
Škoda,Enyaq iV,160km/hr,537km,5-seater,"$42,500",,,,,
Smart,EQ fortwo,130km/hr,145km,2-seater,"$24,630",,,,,
Subaru,Solterra,193km/hr,580km,5-seater,N/A,,,,,
Tesla,Model s,322km/hr,652km,5-7seater,"$79,990",,,,,
Porsche ,Taycon,260km/hr,450km,4-5seater,"$81,250",,,,,
Volkswagen,ID.4,160km/hr,520km,5-seater,"$40,000",,,,,
Volvo,XC40,180km/hr,418km,5-seater,"$53,000",,,,,
Xpeng,P7,170km/hr,562km,5-seater,"$32,000",,,,,
Faraday Future,FF91,260km/hr,700km,5-seater,"$180,000",,,,,
Geely,Geometry A,150km/hr,500km,5-seater,"$22,000",,,,,
GWM,Ora R1,102km/hr,350km,4-seater,"$10,000",,,,,
Li Auto,One,160km/hr,800km,5-seater,"$42,000",,,,,
NIO,Es6,200km/hr,580km,5-seater,"$50,000",,,,,
Singulato,ic3,150km/hr,330km,5-seater,"$22,000",,,,,
Tesla China,Model 3,225km/hr,468km,5-seater,"$36,250",,,,,
Tesla Europe,Model Y,217km/hr,505km,5-7seater,"$58,000",,,,,
Tesla US,Model Y,217km/hr,505km,5-7seater,"$41,190",,,,,
Wuling,Hong Guang Mini EV,100km/hr,170km,4-seater,"$4,178",,,,,
,,,,,,,,,,
